YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
201311,11,3.555555556,0.323512421,November,3.232043135
201312,12,1.362007168,-4.168044077,December,5.530051246
201401,1,-7.508960573,-5.877342419,January,-1.631618154
201402,2,-0.376984127,-6.990482102,February,6.613497975
201403,3,1.523297491,-3.841269841,March,5.364567332
201404,4,5.611111111,2.427875244,April,3.183235867
201405,5,10.82437276,9.522613065,May,1.301759695
201406,6,13.55555556,14.71189774,June,-1.156342183
201407,7,19.98207885,16.49888143,July,3.483197421
201408,8,17.29390681,15.02207506,August,2.271831755
201409,9,11.88888889,9.91091954,September,1.977969349
201410,10,5.734767025,4.947222222,October,0.787544803
201411,11,2.314814815,0.323512421,November,1.991302394
201412,12,-1.146953405,-4.168044077,December,3.021090672
201501,1,-1.810035842,-5.877342419,January,4.067306577
201502,2,0.119047619,-6.990482102,February,7.109529721
201503,3,1.666666667,-3.841269841,March,5.507936508
201504,4,5.166666667,2.427875244,April,2.738791423
201505,5,9.58781362,9.522613065,May,0.065200555
201506,6,13.53703704,14.71189774,June,-1.174860701
201507,7,16.07526882,16.49888143,July,-0.423612615
201508,8,16.70250896,15.02207506,August,1.680433905
201509,9,12.53703704,9.91091954,September,2.626117497
201510,10,5.17921147,4.947222222,October,0.231989247
201511,11,4.592592593,0.323512421,November,4.269080172
201512,12,2.204301075,-4.168044077,December,6.372345152
201601,1,-10.23297491,-5.877342419,January,-4.355632491
201602,2,-0.440613027,-6.990482102,February,6.549869075
201603,3,0.071684588,-3.841269841,March,3.912954429
201604,4,4.648148148,2.427875244,April,2.220272904
201605,5,13.85304659,9.522613065,May,4.33043353
201606,6,15.37037037,14.71189774,June,0.658472632
201607,7,17.41935484,16.49888143,July,0.920473407
201608,8,15.89605735,15.02207506,August,0.873982292
201609,9,12.44444444,9.91091954,September,2.533524904
201610,10,4.498207885,4.947222222,October,-0.449014337
201611,11,-0.536398467,0.323512421,November,-0.859910888
201612,12,-0.788530466,-4.168044077,December,3.379513611
201701,1,-2.888888889,-5.877342419,January,2.98845353
201702,2,-3.194444444,-6.990482102,February,3.796037658
201703,3,0.698924731,-3.841269841,March,4.540194572
201704,4,2.240740741,2.427875244,April,-0.187134503
201705,5,9.462365591,9.522613065,May,-0.060247474
201706,6,13.5,14.71189774,June,-1.211897738
201707,7,15.71684588,16.49888143,July,-0.782035554
201708,8,15.71684588,15.02207506,August,0.694770823
201709,9,11.2962963,9.91091954,September,1.385376756
201710,10,9.027777778,4.947222222,October,4.080555556
